timestamp,x,y,z
28.992,0.2893,-1.7124,-0.4084
29.063,0.4616,-1.4854,0.5501
29.129,0.3308,-0.9819,1.4042
29.213,0.9317,-1.1183,2.1918
29.287,1.0089,-0.9155,3.1680
29.472,1.1073,-0.7893,4.1551
29.542,0.5962,-0.6681,5.0060
29.610,0.6564,-0.3120,5.9385
29.683,0.5927,0.1112,6.8423
29.755,0.8785,0.5268,7.7058
29.821,0.8785,0.5268,7.7058
29.889,0.9477,1.0758,8.5387
29.969,0.9477,1.0758,8.5387
30.046,0.9477,1.0758,8.5387
30.323,0.0690,1.0396,8.0627
30.462,-0.4074,1.2388,8.9190
30.558,-0.2780,1.0173,7.9525
30.635,-0.2780,1.0173,7.9525
30.717,0.7116,0.9321,8.0683
30.810,0.7116,0.9321,8.0683
30.929,0.7048,0.6130,7.1206
31.076,0.4784,0.8548,8.0641
31.254,0.4224,0.6035,7.0978
31.558,-0.4362,0.2932,7.5058
31.665,0.0079,0.7779,8.2593
31.784,-0.6512,0.3244,7.6594
31.882,-0.0367,0.7785,8.3045
31.931,-0.0367,0.7785,8.3045
32.003,-0.0367,0.7785,8.3045
32.052,-0.0367,0.7785,8.3045
32.130,-0.0367,0.7785,8.3045
32.211,-0.3016,0.1908,7.5400
32.268,-0.8785,-0.2253,6.8371
32.317,-1.3492,0.5169,7.3140
32.397,-2.2879,0.3567,7.0089
32.450,-1.3392,0.5105,7.2850
32.552,-2.2832,0.4547,6.9599
32.620,-3.2574,0.4422,6.7344
32.677,-4.1922,0.2594,6.4301
32.771,-5.1146,0.0129,6.1327
32.831,-4.7527,0.5389,5.3631
32.880,-5.6958,0.5106,5.0317
32.934,-4.7422,0.5517,5.3299
33.033,-5.5586,0.5099,4.7540
33.122,-5.5586,0.5099,4.7540
33.173,-5.5586,0.5099,4.7540
33.226,-5.5586,0.5099,4.7540
33.278,-5.5586,0.5099,4.7540
33.350,-5.5586,0.5099,4.7540
33.400,-5.5586,0.5099,4.7540
33.452,-5.5586,0.5099,4.7540
33.505,-5.5586,0.5099,4.7540
33.581,-5.5586,0.5099,4.7540
33.942,-4.8963,0.7318,5.4696
33.978,-4.8963,0.7318,5.4696
34.023,-4.8963,0.7318,5.4696
34.054,-4.8963,0.7318,5.4696
34.088,-4.8963,0.7318,5.4696
34.125,-4.8963,0.7318,5.4696
34.387,-4.0169,1.1929,5.5885
34.566,-3.2335,1.7763,5.8025
34.639,-3.2335,1.7763,5.8025
34.726,-3.2335,1.7763,5.8025
34.796,-2.2949,1.4352,5.8552
34.875,-2.2949,1.4352,5.8552
34.947,-2.2949,1.4352,5.8552
35.019,-2.2949,1.4352,5.8552
35.100,-2.2949,1.4352,5.8552
35.209,-1.4398,1.7402,5.4360
35.308,-1.2953,1.4683,4.4846
35.378,-0.4715,1.9332,4.8089
35.460,-0.0882,2.4227,5.5922
35.530,0.4732,2.6515,6.3874
35.611,1.0339,2.9840,7.1458
35.723,1.7629,2.3951,7.4948
35.817,2.1265,3.0365,8.1704
35.902,2.3750,3.6848,8.8901
36.246,2.6705,4.4641,9.4426
36.375,2.7522,4.1155,8.5089
36.411,2.7522,4.1155,8.5089
36.454,2.7522,4.1155,8.5089
36.479,2.7522,4.1155,8.5089
36.502,2.7522,4.1155,8.5089
36.538,2.7522,4.1155,8.5089
36.581,2.7522,4.1155,8.5089
36.638,2.1530,3.4388,8.9367
36.677,2.1530,3.4388,8.9367
36.746,2.1530,3.4388,8.9367
36.795,2.1530,3.4388,8.9367
36.842,2.1530,3.4388,8.9367
36.866,2.1530,3.4388,8.9367
36.901,2.1530,3.4388,8.9367
36.941,2.1530,3.4388,8.9367
37.005,2.1530,3.4388,8.9367
37.039,2.1530,3.4388,8.9367
37.084,2.1530,3.4388,8.9367
37.143,2.1530,3.4388,8.9367
37.187,2.1530,3.4388,8.9367
37.248,2.1530,3.4388,8.9367
37.287,2.1530,3.4388,8.9367
37.340,2.1530,3.4388,8.9367
37.382,2.1530,3.4388,8.9367
37.417,2.1530,3.4388,8.9367
37.452,2.1530,3.4388,8.9367
37.496,2.1530,3.4388,8.9367
37.531,2.1530,3.4388,8.9367
37.582,2.1530,3.4388,8.9367
37.619,2.1530,3.4388,8.9367
37.662,2.1530,3.4388,8.9367
37.704,2.1530,3.4388,8.9367
37.742,2.1530,3.4388,8.9367
37.795,2.1530,3.4388,8.9367
37.847,2.1530,3.4388,8.9367
37.910,2.1530,3.4388,8.9367
37.961,2.1530,3.4388,8.9367
38.029,1.2098,3.1676,9.1286
38.108,1.2098,3.1676,9.1286
38.199,1.2098,3.1676,9.1286
38.303,1.2098,3.1676,9.1286
38.427,1.2098,3.1676,9.1286
38.536,1.2098,3.1676,9.1286
38.621,1.2098,3.1676,9.1286
38.702,1.2098,3.1676,9.1286
38.867,0.3274,2.8593,9.4841
38.928,0.3274,2.8593,9.4841
38.979,-0.5098,2.7862,8.9423
39.030,-0.5098,2.7862,8.9423
39.067,-0.5098,2.7862,8.9423
39.111,-0.5098,2.7862,8.9423
39.176,0.1861,2.3726,9.5293
39.257,-0.4677,2.5045,8.7842
39.322,-0.4677,2.5045,8.7842
39.388,-0.4677,2.5045,8.7842
39.454,-0.4677,2.5045,8.7842
39.517,-0.4677,2.5045,8.7842
39.578,-0.4677,2.5045,8.7842
39.674,-0.4677,2.5045,8.7842
39.745,-0.4677,2.5045,8.7842
39.808,-0.4677,2.5045,8.7842
39.871,-0.4677,2.5045,8.7842
39.943,-0.4677,2.5045,8.7842
40.012,-0.4677,2.5045,8.7842
40.074,-0.4677,2.5045,8.7842
40.136,-0.4677,2.5045,8.7842
40.203,-0.4677,2.5045,8.7842
40.264,-0.4677,2.5045,8.7842
40.325,-0.4677,2.5045,8.7842
40.388,-0.4677,2.5045,8.7842
40.454,-0.4677,2.5045,8.7842
40.527,-0.9323,2.1503,9.5957
40.596,-0.9323,2.1503,9.5957
40.673,-0.1113,1.7962,10.0437
40.746,0.5812,1.5153,10.7082
40.844,0.3290,0.7677,11.3226
40.902,0.9656,1.0096,12.0548
40.962,1.6920,1.3859,11.4796
41.023,2.4215,1.8136,10.9460
41.087,2.9819,2.2848,10.2648
41.164,2.9819,2.2848,10.2648
41.242,2.3514,1.8321,10.8953
41.307,2.9675,2.2936,10.2570
41.363,2.9675,2.2936,10.2570
41.424,2.3798,1.8249,10.9165
41.481,2.3798,1.8249,10.9165
41.549,2.3798,1.8249,10.9165
41.606,2.3798,1.8249,10.9165
41.681,2.3798,1.8249,10.9165
41.749,2.3798,1.8249,10.9165
41.812,2.3798,1.8249,10.9165
41.894,2.3798,1.8249,10.9165
41.961,2.3798,1.8249,10.9165
42.025,2.3798,1.8249,10.9165
42.110,2.3798,1.8249,10.9165
42.172,2.3798,1.8249,10.9165
42.231,2.3798,1.8249,10.9165
42.286,2.3798,1.8249,10.9165
42.351,2.3798,1.8249,10.9165
42.409,2.3798,1.8249,10.9165
42.468,2.3798,1.8249,10.9165
42.538,2.3798,1.8249,10.9165
42.619,2.3798,1.8249,10.9165
42.689,2.3798,1.8249,10.9165
42.747,2.3798,1.8249,10.9165
42.802,2.3798,1.8249,10.9165
42.865,2.3798,1.8249,10.9165
42.940,2.3798,1.8249,10.9165
43.011,2.3798,1.8249,10.9165
43.084,2.3798,1.8249,10.9165
43.153,2.3798,1.8249,10.9165
43.210,2.3798,1.8249,10.9165
43.277,2.3798,1.8249,10.9165
43.336,2.3798,1.8249,10.9165
43.399,2.3798,1.8249,10.9165
43.455,2.3798,1.8249,10.9165
43.513,2.3798,1.8249,10.9165
43.569,2.3798,1.8249,10.9165
43.633,2.3798,1.8249,10.9165
43.688,2.3798,1.8249,10.9165
43.747,2.3798,1.8249,10.9165
43.816,2.3798,1.8249,10.9165
43.879,2.3798,1.8249,10.9165
43.932,2.3798,1.8249,10.9165
43.990,2.3798,1.8249,10.9165
44.047,2.3798,1.8249,10.9165
44.110,2.3798,1.8249,10.9165
44.165,2.3798,1.8249,10.9165
44.221,2.3798,1.8249,10.9165
44.281,2.3798,1.8249,10.9165
44.364,2.3798,1.8249,10.9165
44.419,2.3798,1.8249,10.9165
44.482,2.3798,1.8249,10.9165
44.553,2.3798,1.8249,10.9165
44.640,2.3798,1.8249,10.9165
44.702,2.3798,1.8249,10.9165
44.758,2.3798,1.8249,10.9165
44.814,2.3798,1.8249,10.9165
44.880,2.3798,1.8249,10.9165
44.936,2.3798,1.8249,10.9165
45.006,2.3798,1.8249,10.9165
45.061,2.3798,1.8249,10.9165
45.140,2.3798,1.8249,10.9165
45.223,2.3798,1.8249,10.9165
45.292,2.3798,1.8249,10.9165
45.348,2.3798,1.8249,10.9165
45.437,2.3798,1.8249,10.9165
45.527,2.3798,1.8249,10.9165
45.619,2.3798,1.8249,10.9165
45.692,2.3798,1.8249,10.9165
45.772,2.3798,1.8249,10.9165
45.851,2.3798,1.8249,10.9165
45.914,2.3798,1.8249,10.9165
45.982,2.3798,1.8249,10.9165
46.073,2.3798,1.8249,10.9165
46.153,2.3798,1.8249,10.9165
46.215,2.3798,1.8249,10.9165
46.277,2.3798,1.8249,10.9165
46.358,2.3798,1.8249,10.9165
46.446,2.3798,1.8249,10.9165
46.534,2.3798,1.8249,10.9165
46.593,2.3798,1.8249,10.9165
46.685,2.3798,1.8249,10.9165
46.750,2.3798,1.8249,10.9165
46.819,2.3798,1.8249,10.9165
46.882,2.3798,1.8249,10.9165
46.975,2.3798,1.8249,10.9165
47.047,2.3798,1.8249,10.9165
47.107,2.3798,1.8249,10.9165
47.166,2.3798,1.8249,10.9165
47.263,2.3798,1.8249,10.9165
47.323,2.3798,1.8249,10.9165
